"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-11","6.49"," 1403"," 1419","0.01","0.0","0.0",,"63","38","  190","  190","0.0","14.1","15.0",,,,,"    1",,"    1","    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-12","25.28"," 1629"," 1237","0.07","0.0","0.0",,"57","44","  290","  270","0.0","44.1","55.9","    1",,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-13","20.80"," 0024"," 0052","0.00","0.0","0.0",,"44","32","  310","  310","0.0","36.0","42.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-14","12.08"," 0408"," 0408","0.00","0.0","0.0",,"41","29","  290","  290","0.0","21.0","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-15","13.20"," 0209"," 0141","0.00","0.0","0.0",,"42","30","  320","  320","0.0","23.0","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-16","10.07"," 2240"," 2100","0.00","0.0","0.0",,"40","29","  330","  350","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-17","8.50"," 0923"," 0934","0.00","0.0","0.0",,"41","26","  360","   20","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-18","10.51"," 1316"," 1315","0.40","0.0","0.0",,"43","32","  180","  170","0.0","30.0","34.9","    1",,,,"    1",,,,,,"    1","    1",,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-19","15.66"," 1912"," 1939","0.03","0.0","0.0",,"50","28","  280","  280","0.0","36.0","42.9","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-20","21.47"," 0906"," 0953","0.00","0.0","0.0",,"34","24","  270","  280","0.0","32.0","36.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-21","14.32"," 0928"," 0052","0.00","0.0","0.0",,"42","28","  290","  280","0.0","23.0","30.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-22","12.75"," 2009"," 2010","0.07","0.0","0.0",,"43","32","  310","  320","0.0","33.1","44.1","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-23","22.82"," 1918"," 1946","0.00","0.0","0.0",,"34","25","  320","  320","0.0","34.9","42.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-24","17.67"," 0043"," 0304","0.00","0.0","0.0",,"37","23","  310","  320","0.0","28.0","34.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-25","7.61"," 2005"," 1817","0.00","0.0","0.0",,"41","26","  190","  190","0.0","14.1","17.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-26","6.71"," 1122"," 0934","0.00","0.0","0.0",,"50","35","  210","  230","0.0","13.0","15.0",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-27","12.08"," 1506"," 1506","0.04","0.0","0.0",,"58","40","  180","  180","0.0","28.0","34.9",,,,,"    1",,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-02-28","14.76"," 0443"," 0237","0.00","0.0","0.0",,"54","32","  310","  310","0.0","28.0","32.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-03-01","13.65"," 0609"," 0456","0.14","1.4","0.0",,"35","28","   60","   60","0.0","23.0","25.9","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-03-02","19.24"," 1344"," 1343","0.38","5.2","6.0",,"28","18","  360","  360","0.0","34.9","42.9","    1","    1",,,,,,"    1","    1",,,,,"    1",,"    1",,"    1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-03-03","18.12"," 0009"," 1433","0.00","0.0","6.0",,"28","14","  320","  310","0.0","23.9","34.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-03-04","11.41"," 0037"," 0018","0.00","0.0","5.0",,"35","19","  320","  340","0.0","19.9","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-03-05","7.61"," 2102"," 2239","0.00","0.0","3.0",,"43","28","  210","  200","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-03-06","9.17"," 0836"," 0818","0.00","0.0","2.0",,"54","38","  220","  240","0.0","17.0","25.1",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2009-03-07","6.93"," 1616"," 1735","0.00","0.0","0.0",,"69","46","  170","  170","0.0","17.9","21.0",,,,,,,"    1","    1",,,,,,,,,,
