Inv Location,Count of equine-death-and-breakdown
half way thru the 1st turn,1
Head of the Stretch,1
Holding Barn,1
Horse Path/Barn # 60,1
Horse van,1
icinity of the 1/4 pole,1
Immediately following race.,1
In paddock lot after race,1
In Starting Gate,1
Inner Track at wire,1
"Inner Track, 1/2 mile pole",1
"Inner Track, 1st Turn",1
"Inner Track, AT THE START",1
"Inner Track, Barn Area",1
"Inner Track, Gate",1
"Inner Track, Inside 1/16 pole",1
"Inner Track, Paddock / Starting",1
"Inner Track, Post Parade",1
"Inner Track, Starting Gate and 1/2 pole",1
Inner Track-1 mi. pole,1
Inner Turf Course-Jump 7,1
"Inner Turf, 1/16 pole",1
"Inner Turf, 1/2 pole",1
"Inner Turf, 1/4 Pole",1
"Inner Turf, 3/8 Pole",1
"Inner Turf, 9th fence",1
"Inner Turf, First Turn",1
"Inner Turf, Head of the Stretch",1
"Inner Turf, Start and 3/8 pole",1
Inner Turf-prior to 6th fence,1
Inside 1/8 pole,1
inside rail,1
inside turf-second fence,1
Into 1st Turn,1
Jump#5,1
just after half,1
Just after start-shortly after exiting gate,1
Just before finish,1
just before the finish line,1
just before the half,1
Just beyond half,1
Just beyond the half,1
Just past finish line,1
Last Jump-1/8 pole,1
Leaving gate,1
Leaving the starting gate.,1
Mail Track-Starting Gate,1
Main,1
Main Track - 1/2 Mile,1
Main Track - After Finish,1
Main Track - Warm-up,1
Main Track @ 1/25 pole,1
main track 1/2 mile pole,1
Main Track 1/4 pole,1
Main track 1st turn,1
main track 3/4 pole,1
Main Track- 3/8 pole,1
Main Track at the Wire,1
Main Track at wire,1
Main Track- Down Backstretch,1
Main track harrow yard,1
Main Track near paddock entrance,1
Main Track Ramp,1
Main track warming up,1
"Main Track, 1 mile and 1/4 pole",1
"Main Track, 1 mile n 1/16 pole",1
"Main Track, 1/2 mile",1
"Main Track, 2nd Turn-First Time Around",1
"Main Track, 3/16 pole  and inside",1
"Main Track, After Finish",1
"Main Track, Barn Area",1
"Main Track, Clubhouse Turn",1
"Main Track, Exit Ramp",1
"Main Track, Gate-1st Turn",1
"Main Track, Head of Stretch",1
"Main Track, Inside 1/8 pole",1
"Main Track, Inside the 1/16 pole",1
"Main Track, Paddock Turn",1
"Main Track, Paddock turn 2nd tine around",1
"Main Track, Paddock Turn First Time Around",1
"Main Track, Paddock turn second time around",1
"Main Track, Past 3/4 mark",1
"Main Track, Prior to approaching gate",1
"Main Track, Strating Gate",1
Main track/Barn and stall,1
Main Track/Gate,1
Main track/homestretch,1
Main Track/Starting Gate,1
Main Track/work out,1
Main Track-1/8 pole,1
Main Track-Finish of Race,1
Main Track-Head of the Stretch,1
Main Track-Stretch,1
Maintrack Monticello,1
MainTrack-3/8 pole,1
Mellon Turf,1
"Mellon Turf, 5/8 Pole",1
"Mellon Turf, Start",1
Mellon Turf/Open House Race,1
Mellon Turf-1/2 mile pole,1
Mellon Turf-6th Jump,1
Mile Pole,1
Monmouth/Belmont,1
Monticello barn,1
Near Finish,1
near gate,1
near maintenance entrance,1
Near Paddock,1
near starting gate before race,1
Necropsy area,1
OK training track,1
Oklahoma Backstretch,1
Oklahoma track,1
Oklahoma Track  1/8 pole,1
Oklahoma Track-1/8 pole,1
"Oklahoma Training Track, 1/4 Pole",1
"Oklahoma Training Track, Gap",1
Oklahoma TrainingTrack,1
Oklahoma TT,1
Oklahoma Turf Course,1
Oklahoma Turf-1/8 pole,1
Oklahoma Turf-Training Track,1
